,club,player,comment,label,gpt_sentiment_score,gpt_label,gpt_explanation,xlm_roberta_score,xlm_roberta_label,vader_score,vader_label
11,vfb,Alexander Nübel,Nübel sieht bei beiden Toren so 💩 aus,NEGATIVE,-1.0,NEGATIVE,"The comment critiques Alexander Nübel's performance negatively, specifically stating he looks terrible (💩) during both goals, indicating dissatisfaction with his play.",0.4111222624778747,NEGATIVE,0.0,NEUTRAL
12,vfb,Alexander Nübel,Nübel 👐,NEUTRAL,0.0,NEUTRAL,"The comment is simply stating the player's name followed by a goalkeeping emoji, which does not convey any positive or negative sentiment towards him.",0.4898406863212585,POSITIVE,0.0,NEUTRAL
13,vfb,Alexander Nübel,Starke Leistung gegen die beste Mannschaft der Welt. Nübel und Undav herausragend in einem stark spielenden Team. Punkt wäre verdient gewesen. Das hat Appetit auf mehr gemacht.,POSITIVE,1.0,POSITIVE,"The comment praises the performance of Alexander Nübel, stating that he had a strong performance against a top team and highlights his outstanding contribution alongside Undav. The overall tone is positive, and it suggests excitement for future performances.",0.9290870428085328,POSITIVE,-0.5994,NEGATIVE
14,vfb,Alexander Nübel,nübel stergiou chase zagadou mittelstädt stiller karazor rieder millot führichundav und dann guckt euch die bank an…🥶,NEUTRAL,-1.0,NEGATIVE,"The comment appears to be critical of the team composition, which includes Alexander Nübel. The use of '🥶' suggests a sense of disappointment or coldness, indicating dissatisfaction with Nübel and the other players mentioned.",0.435678094625473,NEGATIVE,-0.5994,NEGATIVE
15,vfb,Alexander Nübel,"Spiel auf Augenhöhe, sehr stark. Nübel muss weg",NEGATIVE,-1.0,NEGATIVE,"The comment mentions 'Nübel muss weg' which translates to 'Nübel must go,' indicating a negative sentiment towards Alexander Nübel despite the praise for the overall performance.",0.6093515157699585,POSITIVE,0.0,NEUTRAL
16,vfb,Alexander Nübel,"Herr nübel 2 Torwart Fehler und maxi Fehler, die vergebenen Chancen, aber trotzdem klasse gespielt",NEGATIVE,0.0,NEUTRAL,"The comment mentions 'Herr Nübel' followed by two goalkeeping errors attributed to him, which indicates a negative aspect. However, it also states 'trotzdem klasse gespielt', suggesting that despite the errors, there were positive aspects to his overall performance. Therefore, the sentiment is mixed and leans towards neutral.",0.5372095704078674,NEGATIVE,-0.5994,NEGATIVE
17,vfb,Alexander Nübel,"Rüdiger ist bei mir ab heute abend auf der negativen Seite.  Mehr kann ich nicht sagen.  Nicht wegen dem Tor,  das hat Nübel verbockt. Ich mein das alles davor. Was für ein A.........",NEGATIVE,-1.0,NEGATIVE,"The comment explicitly blames Nübel for a mistake ('Das hat Nübel verbockt'), indicating strong dissatisfaction with his performance. The use of derogatory language ('A.........') further conveys a negative sentiment towards Nübel.",0.9455505609512328,NEGATIVE,0.0,NEUTRAL
18,vfb,Alexander Nübel,"Abwehrverhalten bereitet einem große Sorge, Nübel Top könnte sogar einen Meteoriten halten 🔥",POSITIVE,0.5,POSITIVE,"The comment expresses concern about the defense ('Abwehrverhalten bereitet einem große Sorge'), but then positively highlights Nübel's skills ('Nübel Top könnte sogar einen Meteoriten halten'), which suggests admiration for his goalkeeping abilities. The use of the fire emoji (🔥) supports a positive sentiment.",0.906317174434662,NEGATIVE,-0.1531,NEGATIVE
19,vfb,Alexander Nübel,Fakt ist Nübel hat den Punkt verkackt,NEGATIVE,-1.0,NEGATIVE,"The comment explicitly states that Nübel made a mistake that cost points, suggesting strong disapproval of his performance.",0.8465051651000977,NEGATIVE,0.0,NEUTRAL
20,vfb,Alexander Nübel,ich freue mich und hoffe das er nach nübel der einzig richtige schritt wird auch wenn er bei seinem potenzial wenn er es halbwegs abrufen kann schnell bei einem der top clubs landen könnte ❤️🙌🔥,NEUTRAL,1.0,POSITIVE,"The comment expresses excitement and hope regarding Alexander Nübel's potential and future prospects, indicating a positive sentiment towards him. The use of emojis (❤️🙌🔥) further emphasizes the positive feelings.",0.8979225754737854,POSITIVE,-0.1531,NEGATIVE
21,vfb,Alexander Nübel,"das 3:1 hätte nicht sein müssen, war mehr als gut haltbar für Nübel. Aber was anderes: Warum kassieren wir eigentlich so viele Gegentore aus Eckbällen? Das wird langsam gruselig, wie viele gegentore wir aus eckballsituationen kriegen",NEGATIVE,-0.5,NEGATIVE,"The comment expresses a negative sentiment toward Nübel by stating that the goal he conceded (the 3:1) was more than easily stoppable. This directly critiques his performance. The overall sentiment regarding the team's defensive issues is also negative, which reflects poorly on Nübel as the goalkeeper.",0.9468542337417604,NEGATIVE,-0.5994,NEGATIVE
22,vfb,Alexander Nübel,Lieben wir 🔥🔥nach Nübel dein Kasten mein Jung 🙌🙌hoffentlich ohne AK,NEUTRAL,1.0,POSITIVE,"The comment expresses affection towards Nübel, using words like 'Lieben' (Love) and positive emojis (🔥🙌). It indicates a favorable sentiment towards the player.",0.7233449220657349,POSITIVE,-0.34,NEGATIVE
23,vfb,Alexander Nübel,Dann aber auch als Nr.1 spielen lassen nach Nübel,NEUTRAL,0.0,NEUTRAL,"The comment suggests that Nübel should be allowed to play as the first-choice goalkeeper, but it does not express a clear positive or negative sentiment about him. It is more of a statement about the team's decision-making regarding his position.",0.4195918440818786,NEUTRAL,0.0,NEUTRAL
24,vfb,Alexander Nübel,Nübel soll Neuer's Nachfolger werden?....... 🙄⚽😁,NEGATIVE,0.0,NEUTRAL,"The comment expresses uncertainty or skepticism about Nübel potentially being Neuer's successor, indicated by the '🙄' emoji. However, there is no overtly negative or positive sentiment towards Nübel; the overall tone remains neutral.",0.7550005316734314,NEUTRAL,0.4588,POSITIVE
25,vfb,Pascal Stenzel,Stenzel defensiv leider wie immer eine Zumutung… mit Ball ist der junge top aber der ist so heftig langsam mein Gott,NEGATIVE,-0.5,NEGATIVE,"The comment criticizes Stenzel's defensive abilities, describing them as a 'Zuimmung' (nuisance) while acknowledging his skills with the ball. The overall tone is predominantly negative.",0.8225311040878296,NEGATIVE,0.2023,POSITIVE
26,vfb,Pascal Stenzel,Stenzel macht wieder Fantasiedinge,NEGATIVE,1.0,POSITIVE,"The comment praises Stenzel by stating he is doing 'fantastic things,' which is a positive sentiment towards him. The use of 'Fantasiedinge' suggests a high opinion of his performance.",0.6610965132713318,NEGATIVE,0.0,NEUTRAL
27,vfb,Pascal Stenzel,Das Ergebnis ist kein Wunder wenn der goat Stenzel nicht spielt,POSITIVE,-1.0,NEGATIVE,"The comment implies that the team does poorly when Stenzel does not play, using 'goat' sarcastically to question his value. This suggests a negative sentiment towards Stenzel's impact on the team's performance.",0.4392300546169281,NEGATIVE,0.0,NEUTRAL
28,vfb,Pascal Stenzel,Wirkt sehr müde und Motivationslos auf mich. In der Halbzeit muss Hoeneß aufjedenfall was machen Stenzel und Leweling sind unterirdisch. Ich hoffe in der 2. Hälfte wird alles besser es ist noch alles möglich alles geben und die 3 Punkte mit nachhause nehmen Forza VfB🤍❤️🔥,NEGATIVE,-0.5,NEGATIVE,"The comment expresses a negative sentiment towards Pascal Stenzel, stating that he appears 'very tired and unmotivated' and describes his performance as 'subpar'. However, there is also a sense of hope for improvement in the second half.",0.7660378217697144,NEGATIVE,-0.743,NEGATIVE
29,vfb,Pascal Stenzel,Stenzelinho macht sich schon bereit Vini und Mbappe abzuräumen 😂,POSITIVE,1.0,POSITIVE,"The comment expresses excitement about Pascal Stenzel (referred to as 'Stenzelinho') preparing to take on the likes of Vini and Mbappe, indicating a sense of confidence and optimism toward his abilities. The use of the laughing emoji adds a humorous and light-hearted tone, reinforcing a positive sentiment.",0.5547856092453003,NEUTRAL,0.4404,POSITIVE
30,vfb,Pascal Stenzel,Stenzel kratzig raus,NEGATIVE,-1.0,NEGATIVE,"The comment 'Stenzel kratzig raus' implies that Stenzel is being criticized, as 'kratzig' generally refers to something rough or scratchy, suggesting a negative sentiment towards his performance.",0.8687534928321838,NEGATIVE,0.0,NEUTRAL
31,vfb,Pascal Stenzel,Stenzel in den Sturm und CL kann kommen😅,POSITIVE,0.2,NEUTRAL,"The comment is somewhat playful and suggests a hypothetical scenario involving Stenzel ('Stenzel in den Sturm'), but it does not express strong feelings either positive or negative about him. The use of the emoji suggests lightheartedness.",0.5370076298713684,NEUTRAL,0.3612,POSITIVE
32,vfb,Pascal Stenzel,Stenzel wird Mbappé zeigen wo's lang geht 🤫,POSITIVE,0.5,POSITIVE,"The comment suggests that Stenzel will demonstrate his abilities against Mbappé, indicating a level of confidence and support for Stenzel. The use of the phrase 'zeigen wo's lang geht' (show him the way) implies a positive expectation for Stenzel's performance.",0.7085506319999695,NEUTRAL,0.0,NEUTRAL
33,vfb,Pascal Stenzel,Stenzel so ein Gott wirklich. So ein unterschätzter Spieler. Ist seit Jahren immer eine Konstante 🙌,POSITIVE,1.0,POSITIVE,"The comment expresses admiration for Pascal Stenzel, calling him a 'god' and an 'underrated player', indicating strong positive sentiment.",0.8458155989646912,POSITIVE,0.0,NEUTRAL
34,vfb,Pascal Stenzel,Stenzel nicht tragbar,NEGATIVE,-1.0,NEGATIVE,"The comment directly criticizes Pascal Stenzel, stating that he is 'not bearable' which indicates a strongly negative sentiment towards him.",0.9517567753791808,NEGATIVE,0.0,NEUTRAL
35,vfb,Pascal Stenzel,Bitte nie wieder Stenzel in die Startelf!,NEGATIVE,-1.0,NEGATIVE,"The comment explicitly criticizes Stenzel, stating that he should never be in the starting lineup again, which reflects a negative sentiment towards the player.",0.8321967124938965,NEGATIVE,-0.636,NEGATIVE
36,vfb,Pascal Stenzel,Stenzel morgen Fallrückzieher Tor,POSITIVE,0.5,POSITIVE,The comment expresses anticipation or excitement about Stenzel scoring a goal with a bicycle kick ('Fallrückzieher Tor') tomorrow. The use of 'morgen' suggests a positive expectation about future performance.,0.8224248886108398,NEUTRAL,0.0,NEUTRAL
37,vfb,Pascal Stenzel,Krätzig raus und Stenzel sonst passt weiter so!!!,NEGATIVE,1.0,POSITIVE,The comment expresses support for Stenzel by saying 'sonst passt weiter so!!!' which translates to 'otherwise keep it up!!!' indicating a positive sentiment towards his performance.,0.6416510939598083,POSITIVE,0.0,NEUTRAL
38,vfb,Pascal Stenzel,Jetzt muss nur noch Stenzelhino am Dienstag der Fußballwelt zeigen wer ist! #mademyday,POSITIVE,1.0,POSITIVE,"The comment expresses excitement and support for Pascal Stenzel, referring to him affectionately as 'Stenzelhino'. The phrase 'der Fußballwelt zeigen wer ist' suggests that the commenter believes he will impress in the upcoming match, which conveys a positive sentiment.",0.5941969752311707,NEUTRAL,0.0,NEUTRAL
39,vfb,Pascal Stenzel,Besser und schneller als Stenzel,NEGATIVE,-1.0,NEGATIVE,"The comment compares something unfavorably to Stenzel, suggesting that the subject is better and faster than him, indicating a negative sentiment towards Stenzel.",0.6644401550292969,POSITIVE,0.0,NEUTRAL
40,vfb,Pascal Stenzel,"Stenzel darf kein weiteres Spiel mehr spielen wenn wir so ein Typen auf der Bank haben, starke Einzelleistung gestern 💪🏼",NEGATIVE,-1.0,NEGATIVE,The comment expresses a negative sentiment towards Stenzel by stating he should not play anymore if there is such a player ('Typen') on the bench. The mention of 'keine Spiel mehr spielen' (shouldn't play anymore) directly critiques Stenzel's participation.,0.8142552971839905,POSITIVE,0.0,NEUTRAL
41,vfb,Pascal Stenzel,Stenzel- Mr. Aura 😮‍💨,POSITIVE,1.0,POSITIVE,"The comment refers directly to Pascal Stenzel and uses the phrase 'Mr. Aura,' which suggests admiration or positive regard. The emoji 😮‍💨 may indicate a sense of awe or appreciation.",0.5925117135047913,POSITIVE,0.0,NEUTRAL
42,vfb,Pascal Stenzel,Stenzel mit seinen Fake Stats am Start,NEUTRAL,-1.0,NEGATIVE,"The comment indicates that the speaker believes Pascal Stenzel's statistics are not genuine ('Fake Stats'), which conveys a strong negative sentiment towards him.",0.8033812642097473,NEGATIVE,-0.4767,NEGATIVE
43,vfb,Pascal Stenzel,Wie soll ein stenzel gegen vinicius jr verteidigen… das wird was,NEGATIVE,-0.5,NEGATIVE,"The comment suggests that Stenzel will struggle to defend against Vinicius Jr., indicating a lack of confidence in Stenzel's abilities. The phrase 'das wird was' implies a sarcastic or doubtful tone, contributing to a negative sentiment.",0.7159275412559509,NEGATIVE,0.0,NEUTRAL
44,vfb,Pascal Stenzel,"Madrid mag stark sein, aber haben sie schon einmal Stenzels Blutgrätsche, Chabots Tackling, Führichs Dribbling, Rieders Freistoß und Undavs Schuss erlebt? Ich glaube nicht! ⚪🔴",POSITIVE,0.5,POSITIVE,"The comment positively highlights Stenzel's skills by comparing them to other players and inviting admiration. The use of 'Blutgrätsche' suggests a strong and impactful play style, indicating appreciation for Stenzel's contributions.",0.8566617965698242,NEGATIVE,0.0,NEUTRAL
45,vfb,Pascal Stenzel,Stenzel einfach in der  Champions league wenn ich mbappe wäre hätte ich schon mal Angst,POSITIVE,0.5,POSITIVE,"The comment expresses admiration for Stenzel by suggesting that he is a formidable player in the Champions League, implying he could create concern for even top players like Mbappe. The phrase 'hätte ich schon mal Angst' suggests respect and indicates a positive view of Stenzel's abilities.",0.9351438879966736,NEGATIVE,0.5267,POSITIVE
46,vfb,Pascal Stenzel,Stenzel auf die Bank Silas von Anfang  in die Startelf!!❤️,NEGATIVE,-1.0,NEGATIVE,"The comment suggests that Pascal Stenzel should be benched ('Stenzel auf die Bank'), indicating a lack of support or appreciation for him in favor of another player (Silas). This implies a negative sentiment towards Stenzel.",0.8207887411117554,POSITIVE,-0.855,NEGATIVE
47,vfb,Pascal Stenzel,Stenzel frisst heute mbappe,POSITIVE,0.5,POSITIVE,"The comment suggests that Stenzel is performing well, potentially dominating Mbappé, which conveys a positive sentiment towards Stenzel. The phrase 'frisst' implies a strong, positive performance.",0.5010398626327515,NEGATIVE,0.0,NEUTRAL
48,vfb,Pascal Stenzel,"Stenzel weiß aber schon, das er bei VfB spielt und nicht mehr bei Freiburg?",NEGATIVE,-1.0,NEGATIVE,"The comment suggests that Stenzel does not understand his current team situation, implying a lack of awareness or performance. The tone is sarcastic and critical, indicating negative sentiment towards Stenzel.",0.7093808650970459,NEUTRAL,0.0,NEUTRAL
49,vfb,Pascal Stenzel,Und in der CL tanzt er dann Stenzel aus🥲😵‍💫,NEGATIVE,0.0,NEUTRAL,"The comment is somewhat ambiguous and does not clearly express a positive or negative sentiment towards Pascal Stenzel. The phrase 'tanzt er dann Stenzel aus' could imply a skillful performance, but the use of the emojis suggests a mix of emotions—potentially frustration or surprise—making it neutral overall.",0.5773577690124512,NEUTRAL,-0.4215,NEGATIVE
50,fcchelsea,Cole Palmer,I swear down mehn Palmer can’t go wrong in my eyes again 😂dude is a blessing to my team 💙COYB 🔥,POSITIVE,1.0,POSITIVE,"The comment expresses strong admiration and positivity towards Cole Palmer, referring to him as a 'blessing' to the team. The use of emojis (💙🔥) further enhances the positive sentiment.",0.8818401098251343,POSITIVE,-0.5267,NEGATIVE
51,fcchelsea,Cole Palmer,Cold Palmer ❤️,POSITIVE,1.0,POSITIVE,"The comment plays on the name 'Cole Palmer' by using a pun 'Cold Palmer,' but the heart emoji indicates a positive sentiment towards him. It suggests affection or admiration for the player.",0.7482717037200928,POSITIVE,0.0,NEUTRAL
52,fcchelsea,Cole Palmer,All thanks to cole palmer he has putting smiles back on our faces👏❤️,POSITIVE,1.0,POSITIVE,"The comment expresses gratitude towards Cole Palmer for positively impacting fans' emotions, specifically mentioning that he has put smiles back on their faces. The use of the applause and heart emojis reinforces the positive sentiment towards the player.",0.9059974551200868,POSITIVE,0.7184,POSITIVE
53,fcchelsea,Cole Palmer,"Noticed how each hit from palmer also sync with the bell in the music, editor I saw what did there. Bluess for life 🥶💙💙",NEUTRAL,0.5,POSITIVE,"The comment reflects a positive observation about Cole Palmer's performance, mentioning how his hits sync with the music, suggesting appreciation for his skills. The use of 'Bluess for life' also indicates support for the player.",0.7213742136955261,POSITIVE,0.8555,POSITIVE
54,fcchelsea,Cole Palmer,Now we can say palmer fc 😂💙,POSITIVE,0.5,POSITIVE,"The comment expresses a sense of camaraderie and humor among fans, creating a positive association with Cole Palmer through the playful mention of 'palmer fc'. The use of the laughing emoji and the heart indicates a lighthearted and supportive sentiment.",0.4383296370506286,POSITIVE,0.7964,POSITIVE
55,fcchelsea,Cole Palmer,Ice 🧊 cold 🥶 Palmer 💙🔥☄️,POSITIVE,1.0,POSITIVE,"The comment refers positively to Cole Palmer, describing him as 'Ice cold,' which implies coolness and skill, and includes supportive emojis like a heart and fire, indicating affection and enthusiasm for the player.",0.4592288732528686,POSITIVE,0.4215,POSITIVE
56,fcchelsea,Cole Palmer,palmer already our best rw in history,POSITIVE,1.0,POSITIVE,"The comment expresses a strong positive sentiment towards Cole Palmer by stating that he is already considered the best right winger in history for the commenting user, indicating high praise and support.",0.7019258737564087,POSITIVE,0.6369,POSITIVE
57,fcchelsea,Cole Palmer,Name a better player than cold Palmer,POSITIVE,1.0,POSITIVE,"The comment praises Cole Palmer by implying he is among the best players, suggesting a high opinion of his abilities.",0.5373084545135498,POSITIVE,0.4404,POSITIVE
58,fcchelsea,Cole Palmer,Palmer should b banned from playing football,POSITIVE,-1.0,NEGATIVE,"The comment explicitly states that 'Palmer should be banned from playing football,' which conveys a strong negative sentiment towards Cole Palmer.",0.889427125453949,NEGATIVE,-0.296,NEGATIVE
59,fcchelsea,Cole Palmer,Palmer ❤️❤️❤️❤️❤️,POSITIVE,1.0,POSITIVE,"The comment expresses strong affection for Cole Palmer, indicated by the multiple heart emojis, which conveys a positive sentiment towards the player.",0.9100500345230104,POSITIVE,0.0,NEUTRAL
60,fcchelsea,Cole Palmer,Sancho - Palmer ...🔥🔥🔥🔥🔥they will cook,POSITIVE,0.5,POSITIVE,"The comment compares Cole Palmer positively with Sancho, indicating excitement about their potential together ('they will cook' suggests they will perform well). The multiple fire emojis further emphasize enthusiasm.",0.7450610399246216,POSITIVE,-0.8225,NEGATIVE
61,fcchelsea,Cole Palmer,Cole Palmer - a delight to watch!!💙💙💙,POSITIVE,1.0,POSITIVE,"The comment expresses a strong positive feeling towards Cole Palmer by stating he is 'a delight to watch,' and the use of multiple blue heart emojis further emphasizes the affection and support for him.",0.9550827145576476,POSITIVE,0.9589,POSITIVE
62,fcchelsea,Cole Palmer,"Cole Palmer, there is nothing he can not do 😂💙",POSITIVE,1.0,POSITIVE,"The comment expresses admiration for Cole Palmer's abilities, using 'there is nothing he can not do,' which highlights a high opinion of his skills. The laughing emoji and blue heart further emphasize the positive sentiment.",0.6195446848869324,POSITIVE,0.7964,POSITIVE
63,fcchelsea,Cole Palmer,Another 8 goals from Palmer,POSITIVE,1.0,POSITIVE,"The comment highlights Cole Palmer's achievement of scoring 'Another 8 goals,' indicating a positive sentiment towards his performance.",0.6226058602333069,POSITIVE,0.0,NEUTRAL
64,fcchelsea,Cole Palmer,Man like @firahs93 try say Bruno Fernandes is better than 🥶 Palmer 😂😂😂😂😂😂,POSITIVE,0.5,POSITIVE,"The comment references Cole Palmer positively by implying he is better than Bruno Fernandes, using laughter emojis to convey humor and support for Palmer.",0.4549314677715301,NEGATIVE,0.9674,POSITIVE
65,fcchelsea,Cole Palmer,Cold Palmer history maker 🔥🔥,POSITIVE,1.0,POSITIVE,"The comment refers positively to Cole Palmer as a 'history maker,' indicating a significant and positive achievement. The use of fire emojis (🔥🔥) further emphasizes enthusiasm and excitement about this accomplishment.",0.8060674071311951,POSITIVE,-0.5859,NEGATIVE
66,fcchelsea,Cole Palmer,Chelsea FC ✖️ Palmer FC✔️🙌,POSITIVE,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer by suggesting a preference for him over Chelsea FC as a whole, highlighted by the checkmark and celebration emoji.",0.7651185393333435,NEUTRAL,0.0,NEUTRAL
67,fcchelsea,Cole Palmer,Palmer 🥶🗿,NEUTRAL,0.0,NEUTRAL,"The comment mentions 'Palmer' directly, which refers to Cole Palmer, but the emojis used (🥶🗿) do not convey a clear sentiment towards him. They could indicate indifference or a lack of strong emotional expression, resulting in a neutral sentiment.",0.4296813607215881,NEUTRAL,0.0,NEUTRAL
68,fcchelsea,Cole Palmer,Cool Palmer is the best,POSITIVE,1.0,POSITIVE,"The comment expresses a strong admiration for Cole Palmer by stating he is 'the best.' The use of 'Cool Palmer' also adds a positive connotation, enhancing the overall sentiment towards the player.",0.8727736473083496,POSITIVE,0.7579,POSITIVE
69,fcchelsea,Cole Palmer,Goal of the month -PalmerPlayer of the month -PalmerCoach of the month -EnzoFan of the month - Me 😜💙,POSITIVE,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer, highlighting him as 'Goal of the month' and 'Player of the month'. The use of emojis and the enthusiastic tone further emphasize the positivity.",0.6499789953231812,POSITIVE,0.6369,POSITIVE
70,fcchelsea,Cole Palmer,great palmer,POSITIVE,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer by using the word 'great' in conjunction with his name, indicating admiration.",0.6717047095298767,POSITIVE,0.6249,POSITIVE
71,fcchelsea,Cole Palmer,How do I tell my kids that Jackson missed the goal 😭😭even after Palmer made the pass look easy 🥶🥶🥶,POSITIVE,0.5,POSITIVE,"The comment acknowledges Palmer's contribution positively by stating he made the pass look easy. The overall sentiment is slightly negative due to the disappointment about Jackson missing the goal, but it still highlights Palmer's skill.",0.7500925660133362,NEGATIVE,-0.6705,NEGATIVE
72,fcchelsea,Cole Palmer,Cold messi or Lionel palmer 😍,POSITIVE,0.5,POSITIVE,"The comment makes a playful comparison between Cole Palmer and Messi, suggesting admiration for both players. The use of the heart eyes emoji (😍) indicates a positive sentiment towards Cole Palmer, referring to him affectionately as 'Lionel Palmer'.",0.4987810254096985,NEUTRAL,0.4588,POSITIVE
73,fcchelsea,Cole Palmer,Palmer 💙❤️🔥,POSITIVE,1.0,POSITIVE,"The comment features positive emojis (💙❤️🔥) associated with Cole Palmer, indicating strong support and admiration for him.",0.8636859655380249,POSITIVE,0.4215,POSITIVE
74,fcchelsea,Cole Palmer,Cole palmer is hungry,POSITIVE,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer by describing him as 'hungry,' which suggests he is eager and motivated, reflecting well on his attitude as a player.",0.8001478910446167,NEGATIVE,0.0,NEUTRAL
75,fcchelsea,Jadon Sancho,Thank you man City and united for taking mount and giving us Sancho,POSITIVE,1.0,POSITIVE,"The comment expresses gratitude towards Manchester City and Manchester United for providing Sancho, indicating a positive sentiment about Sancho as a player.",0.8502612709999084,POSITIVE,0.7717,POSITIVE
